SREEL,Support,1465,1.0,241.32,199.86,2.57,10.73,38.5,3.84
TRANSWORLD,Support,1466,5.0,254.42,364.49,7.98,,,3.0
MUNJALSHOW,Support,1464,5.0,140.04,168.64,9.2,40.87,40.87,1.98
MAZDA,Support,1471,5.0,275.2,114.64,4.78,67.18,83.46,3.03
ADVANIHOTR,Support,1467,1.0,60.25,8.8,7.55,13.21,79.67,2.43
TRACXN,Support,1474,1.0,51.1,6.16,-8.41,,,1.53
SUKHJITS,Support,1481,1.0,167.41,173.82,-2.99,-19.78,,2.69
PTL,Support,1478,1.0,40.06,64.27,4.27,13.33,70.98,1.28
DICIND,Support,1483,1.0,564.8,452.39,-0.67,43.14,43.14,3.24
SPENCERS,Support,1487,1.0,56.88,-73.4,5.49,-29.31,9.55,2.63
SOFTTECH,Support,1485,1.0,372.75,136.47,6.1,20.59,77.29,4.57
UGARSUGAR,Support,1490,1.0,45.0,19.2,0.51,-42.33,81.67,3.23
PLASTIBLEN,Support,1491,1.0,194.25,164.51,4.89,-16.94,28.67,2.47
KRITINUT,Support,1495,1.0,95.42,42.28,1.54,10.76,,3.74
GENUSPAPER,Support,1503,1.0,17.97,18.76,-2.95,14.25,32.39,2.18
MUTHOOTCAP,Support,1502,5.0,281.45,399.66,5.84,16.86,6.91,2.73
SRGHFL,Support,1511,1.0,290.1,168.38,-2.07,6.12,,2.82
BEDMUTHA,Support,1504,1.0,142.55,44.95,3.19,67.24,67.24,2.98
MEDICAMEQ,Support,1513,1.0,334.0,167.35,-21.06,-12.29,-6.42,3.01
BANSWRAS,Support,1501,1.0,135.23,163.41,0.17,34.56,77.7,3.24
DENORA,Support,1520,1.0,818.15,226.22,-0.35,17.37,86.52,2.93
GOACARBON,Support,1521,5.0,470.3,237.8,1.73,17.07,76.91,2.84
PASUPTAC,Support,1528,1.0,46.6,40.71,9.85,28.11,,4.92
TRF,Support,1537,5.0,363.2,-323.08,-0.43,87.57,87.57,6.38
UNIDT,Support,1531,1.0,203.27,129.05,3.01,4.07,17.18,1.52
MANCREDIT,Support,1538,1.0,187.91,71.92,7.62,,,2.03
RACE,Support,1536,1.0,233.07,44.63,-0.06,,,4.61
HARRMALAYA,Support,1541,1.0,207.96,83.48,2.53,18.0,49.97,2.51
BCONCEPTS,Support,1543,1.0,305.1,64.03,-7.6,95.51,95.51,7.89
KCPSUGIND,Support,1544,1.0,33.22,39.72,-2.38,6.53,74.26,2.8
SMSLIFE,Support,1555,1.0,1184.5,649.96,9.92,18.97,60.15,4.42
ALANKIT,Support,1551,1.0,13.42,11.26,3.13,47.84,47.84,2.65
APOLSINHOT,Support,1545,1.0,1423.2,561.39,8.66,5.46,80.33,2.89
ZIMLAB,Support,1546,1.0,75.22,51.77,-5.68,-18.98,,2.51
VARDHACRLC,Support,1550,1.0,45.31,29.22,7.06,14.37,5.1,2.28
MAWANASUG,Support,1553,1.0,91.78,125.76,6.84,14.55,83.6,2.54
NIPPOBATRY,Support,1559,1.0,471.1,675.31,7.3,-6.13,39.58,2.71
AVG,Support,1549,1.0,242.43,173.62,5.95,14.49,90.47,4.0
LYKALABS,Support,1554,1.0,100.43,29.01,3.61,2.52,90.44,2.22
GOLDTECH,Support,1558,1.0,67.94,28.89,7.27,31.48,46.2,4.74
ALMONDZ,Support,1561,1.0,20.14,14.52,4.67,8.59,93.09,4.28
SINTERCOM,Support,1563,1.0,122.51,43.12,-0.4,10.22,70.98,3.96
ASAHISONG,Support,1566,1.0,283.35,216.23,8.95,8.95,39.58,3.62
DJML,Support,1570,1.0,95.95,19.63,-2.92,55.53,,4.6
PODDARMENT,Support,1576,1.0,290.6,342.87,0.71,-10.25,65.24,2.23
AXITA,Support,1578,1.0,8.8,1.58,1.14,-58.2,,0.45
SUNDRMBRAK,Support,1574,1.0,786.5,252.51,4.51,65.55,65.55,2.66
GLOBALVECT,Support,1577,1.0,219.43,15.19,6.58,81.93,86.81,4.73
SHRADHA,Support,1584,1.0,49.73,30.12,-6.98,-6.98,91.86,7.91
RADIOCITY,Support,1580,1.0,8.66,14.4,6.35,-12.01,-40.88,3.43
PRITIKAUTO,Support,1586,1.0,17.44,14.34,2.24,24.03,40.08,3.25
KAMOPAINTS,Support,1589,1.0,9.19,5.28,0.98,,,2.11
INDOUS,Support,1590,1.0,143.04,39.63,-1.36,,,4.16
NIRAJ,Support,1593,1.0,46.85,38.58,-9.52,8.22,48.88,5.78
CINELINE,Support,1585,1.0,84.99,41.75,1.21,10.45,15.7,4.61
SCPL,Support,1596,1.0,261.19,124.77,-10.0,-21.85,,5.28
STARPAPER,Support,1597,1.0,174.91,436.19,7.5,12.82,65.7,1.87
KOTARISUG,Support,1599,1.0,32.55,34.9,3.84,0.46,77.73,2.91
REPL,Support,1601,1.0,146.95,83.06,-1.63,-10.28,,4.93
IVC,Support,1602,1.0,8.4,6.53,7.02,32.74,32.74,2.11
MURUDCERA,Support,1603,1.0,43.52,61.45,4.48,8.2,81.62,4.35
ABAN,Support,1607,1.0,44.46,-4352.77,5.98,20.56,71.1,3.29
CPCAP,Support,1611,1.0,139.87,299.63,-10.46,,,4.17
PONNIERODE,Support,1615,5.0,294.45,618.87,8.37,9.32,72.41,2.72
BALAXI,Support,1608,1.0,46.77,41.98,9.0,-71.03,,2.41
UYFINCORP,Support,1606,1.0,13.67,18.12,-14.7,,,3.47
MEGASTAR,Support,1618,1.0,222.24,82.72,0.31,3.26,,3.19
NURECA,Support,1616,1.0,252.43,194.28,8.81,4.92,-16.9,4.08
